zip_code,label,department_name,department_number,region_name
39260,lect,jura,39,bourgogne-franche-comté
39240,valzin en petite montagne,jura,39,bourgogne-franche-comté
39400,longchaumois,jura,39,bourgogne-franche-comté
39000,lons le saunier,jura,39,bourgogne-franche-comté
39700,malange,jura,39,bourgogne-franche-comté
39230,mantry,jura,39,bourgogne-franche-comté
39240,marigna sur valouse,jura,39,bourgogne-franche-comté
39130,marigny,jura,39,bourgogne-franche-comté
39600,mathenay,jura,39,bourgogne-franche-comté
39130,mesnois,jura,39,bourgogne-franche-comté
39570,messia sur sorne,jura,39,bourgogne-franche-comté
39250,mieges,jura,39,bourgogne-franche-comté
39250,mieges,jura,39,bourgogne-franche-comté
39250,mignovillard,jura,39,bourgogne-franche-comté
39290,moissey,jura,39,bourgogne-franche-comté
39360,chassal molinges,jura,39,bourgogne-franche-comté
39320,monnetay,jura,39,bourgogne-franche-comté
39210,montain,jura,39,bourgogne-franche-comté
39400,morbier,jura,39,bourgogne-franche-comté
39400,hauts de bienne,jura,39,bourgogne-franche-comté
39330,mouchard,jura,39,bourgogne-franche-comté
39270,moutonne,jura,39,bourgogne-franche-comté
39160,les trois chateaux,jura,39,bourgogne-franche-comté
39140,nance,jura,39,bourgogne-franche-comté
39120,neublans abergement,jura,39,bourgogne-franche-comté
39250,nozeroy,jura,39,bourgogne-franche-comté
39270,orgelet,jura,39,bourgogne-franche-comté
39700,our,jura,39,bourgogne-franche-comté
39300,le pasquier,jura,39,bourgogne-franche-comté
39130,patornay,jura,39,bourgogne-franche-comté
39290,peintre,jura,39,bourgogne-franche-comté
39270,pimorin,jura,39,bourgogne-franche-comté
39210,plainoiseau,jura,39,bourgogne-franche-comté
39130,pont de poitte,jura,39,bourgogne-franche-comté
39110,pont d hery,jura,39,bourgogne-franche-comté
39110,pont d hery,jura,39,bourgogne-franche-comté
39270,presilly,jura,39,bourgogne-franche-comté
39110,pretin,jura,39,bourgogne-franche-comté
39600,pupillin,jura,39,bourgogne-franche-comté
39570,quintigny,jura,39,bourgogne-franche-comté
39290,rainans,jura,39,bourgogne-franche-comté
39230,rye,jura,39,bourgogne-franche-comté
39410,st aubin,jura,39,bourgogne-franche-comté
39300,st germain en montagne,jura,39,bourgogne-franche-comté
39320,val suran,jura,39,bourgogne-franche-comté
